Rank,Company Name,Number of Employees,"Change in 
Rank",Industry,Company Description,"Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/21 ($m)"
110,Kraft Heinz,"38,000",12,Food & Beverages,It Is An American Food Company Formed By The Merger Of Kraft Foods And Heinz And Is Co-headquartered In Chicago.,"$26,185",4.80%,$356.00,-81.60%,"$99,830","$48,925"
111,Dollar Tree,"129,772",20,Retail Company,American Chain Of Discount Variety Stores That Sells Items For $1 Or Less.,"$25,509",8.00%,"$1,341.90",62.30%,"$20,696","$26,717"
112,Amgen,"24,300",23,Biotechnology Company,Amgen Inc. Is An American Multinational Biopharmaceutical Company .,"$25,424",8.80%,"$7,264.00",-7.40%,"$62,948","$143,704"
113,U.S. Bancorp,"68,108",-,Banking,"U.s. Bancorp Is A Diversified Financial Services Company That Provides Lending And Depository Services, Cash Management, Foreign Exchange And Trust And Investment Management Services. The Company Also Provides Credit Card Services, Mortgage Banking, Insurance, Brokerage, And Leasing. U.s Bancorp Operates In The Midwest And Western United States.","$25,241",-7.60%,"$4,959.00",-28.30%,"$553,905","$83,107"
114,Performance Food Group,"20,000",54,Food Company,"Performance Food Group Company is an American company that was founded in 1885 in Richmond, Virginia, by food peddler James Capers. Headquartered in Goochland County, Virginia, the company distributes a range of food products, and has more than 14,000 employees. ","$25,086",27.10%,-$114.10,-168.40%,"$7,720","$7,705"
115,Netflix,"9,400",49,Production Company,"Netflix, Inc. Is An American Over-the-top Content Platform And Production Company.","$24,996",24.00%,"$2,761.40",47.90%,"$39,280","$231,041"
116,Gilead Sciences,"13,600",24,Biotechnology Company,Strives To Help Improve The Lives Of People With Life-threatening Illnesses Around The World By Giving Them Access To The Medicine They Need.,"$24,689",10.00%,$123.00,-97.70%,"$68,407","$81,373"
117,Synnex,"277,900",13,It Company,Synnex Corporation Is An American Multinational Corporation That Provides B2b It Services.,"$24,676",3.90%,$529.20,5.70%,"$13,469","$5,875"
118,Eli Lilly,"35,000",27,Pharmaceutical Company,Eli Lilly And Company Is An American Pharmaceutical Company.,"$24,540",9.90%,"$6,193.70",-25.50%,"$46,633","$179,159"
119,Truist Financial,"53,638",98,Bank Holding Company,Truist Financial Corporation Is An American Bank Holding Company .,"$24,427",66.60%,"$4,482.00",39.00%,"$509,228","$78,409"
120,PNC Financial Services Group,"50,403",31,Bank Holding Company,"Pnc Financial Services Group, Inc. Is A Diversified Financial Services Organization. The Company Provides Regional Banking, Wholesale Banking, And Asset Management Services Nationally And In The Company's Primary Regional Markets.","$24,039",11.20%,"$7,517.00",40.00%,"$466,679","$74,377"
121,Broadcom,"21,000",17,Semiconductor Company,"Broadcom Inc. Is A Global Technology Leader That Designs, Develops And Supplies Semiconductor And Infrastructure Software Solutions.","$23,888",5.70%,"$2,960.00",8.70%,"$75,933","$189,314"
122,CBRE Group,"100,000",6,Real Estate Company,Its An American Commercial Real Estate Services And Investment Firm.,"$23,826",-0.30%,$752.00,-41.40%,"$18,039","$26,549"
123,Massachusetts Mutual Life Insurance,"9,974",-34,Insurance Company,"Massmutual Provides Financial Products Such As Life Insurance, Disability Income Insurance, Long Term Care Insurance, Retirement/401 Plan Services, And Annuities. ","$23,663",-36.50%,-$100.50,-102.70%,"$322,936",-
124,Qualcomm,"41,000",2,Semiconductor Company,Qualcomm (qcom) Is Known For Designing And Manufacturing Wireless Telecommunications Products.,"$23,531",-3.10%,"$5,198.00",18.50%,"$35,594","$150,622"
125,Starbucks,"349,000",-11,Coffeehouse Company,American Multinational Chain Of Coffeehouses And Roastery Reserves,"$23,518",-11.30%,$928.30,-74.20%,"$29,375","$128,644"
126,Duke Energy,"27,535",-3,Holding Company,Duke Energy Is One Of The Largest Energy Holding Companies In The United States.,"$23,453",-4.90%,"$1,377.00",-63.30%,"$162,388","$74,253"
127,Plains GP Holdings,"4,400",-29,Investment Management,Its One Of The Largest Energy Infrastructure And Logistics Companies In North America.,"$23,290",-30.80%,-$568.00,-271.60%,"$25,951","$1,825"
128,US Foods Holding,"26,000",-12,Retail Company,The Company Is A Foodservice Distributor In The United States.,"$22,885",-11.80%,-$226.00,-158.70%,"$12,423","$8,428"
129,Lennar,"9,495",18,Home Construction Company,Lennar Corporation Is A Home Construction And Real Estate Company Based In Miami.,"$22,489",1.00%,"$2,465.00",33.30%,"$29,935","$30,893"
130,Danaher,"69,000",31,Conglomerate Company,"It Is An American Globally Diversified Conglomerate. The Company Designs, Manufactures, And Markets Professional, Medical, Industrial, And Commercial Products And Services. The Company's 4 Platforms Are ""life Sciences"", ""diagnostics"", ""water Quality"", And ""environmental & Applied Solutions"".","$22,284",8.60%,"$3,646.00",21.20%,"$76,161","$160,497"
131,Aflac,"12,003",15,Insurance Company,Aflac Inc. Is An American Insurance Company And Is The Largest Provider Of Supplemental Insurance In The United States.,"$22,147",-0.70%,"$4,778.00",44.60%,"$165,086","$35,191"
132,Rite Aid,"39,920",18,Drugstore Company,"Rite Aid Corporation Is An American Drugstore Chain Based In Camp Hill, Pennsylvania","$21,928",1.20%,-$452.20,-,"$9,452","$1,130"
133,Visa,"20,500",4,Financial Services Company,"It Facilitates Electronic Funds Transfers Throughout The World, Most Commonly Through Visa-branded Credit Cards, Debit Cards And Prepaid Cards.","$21,846",-4.90%,"$10,866.00",-10.00%,"$80,919","$452,525"
134,PayPal Holdings,"26,500",48,Online Payments,"Paypal Holdings, Inc. Is An American Company Operating An Online Payments System In Majority Of Countries That Supports Online Money Transfers And Serves As An Electronic Alternative To Traditional Paper Methods Like Checks And Money Orders.","$21,454",20.70%,"$4,202.00",70.90%,"$70,379","$284,408"
135,Micron Technology,"40,000",-1,Semiconductors,"Producer Of Computer Memory And Computer Data Storage Including Dynamic Random-access Memory, Flash Memory, And Usb Flash Drives.","$21,435",-8.40%,"$2,687.00",-57.40%,"$53,678","$98,678"
136,CarMax,"27,050",37,Automotive,Carmax Is America's Largest Used-car Retailer .,"$21,424",11.90%,$888.40,5.50%,"$21,082","$21,563"
137,Salesforce,"56,606",53,Software,"Salesforce.com, Inc. Is An American Cloud-based Software Company Headquartered In San Francisco, California. It Provides Customer Relationship Management Service And Also Sells A Complementary Suite Of Enterprise Applications Focused On Customer Service, Marketing Automation, Analytics, And Application Development.","$21,252",24.30%,"$4,072.00",3131.70%,"$66,301","$195,132"
138,Altria Group,"7,100",29,Tobacco Company,"Altria Group, Inc. Is The World's Largest Producers And Marketers Of Tobacco, Cigarettes And Related Products. ","$20,841",5.30%,"$4,467.00",-,"$47,414","$95,091"
139,Lumen Technologies,"39,000",4,Telecommunications Company,Lumen is a multinational technology company that enables companies to capitalize on emerging applications and power the 4th Industrial Revolution (4IR).,"$20,712",-7.50%,"-$1,232.00",-,"$59,394","$14,643"
140,Baker Hughes,"55,000",-11,Oil Industry Company,Baker Hughes Company Is An American International Industrial Service Company And One Of The World's Largest Oil Field Services Companies.,"$20,705",-13.10%,"-$9,940.00",-7865.60%,"$38,007","$22,495"
141,International Paper,"49,300",3,Pulp And Paper,"Is An American Pulp And Paper Company, The Largest Such Company In The World.","$20,580",-8.00%,$482.00,-60.70%,"$31,718","$21,241"
142,Hartford Financial Services Group,"18,500",18,Insurance Company,"The Hartford Financial Services Group, Inc. provides a range of insurance products. The Company's products include property and casualty insurance, group benefits, and mutual funds. Hartford Financial Services Group operates in the United States.","$20,523",-1.00%,"$1,737.00",-16.70%,"$74,111","$23,863"
143,Penske Automotive Group,"23,600",-7,Automotive,Is An International Transportation Services Company That Operates Automotive And Commercial Truck Dealerships .,"$20,444",-11.80%,$543.60,24.70%,"$13,247","$6,486"
144,DuPont,"34,000",8,Chemicals Company,"Dupont Is Using Science And Innovation To Make The World A Safer, Healthier, And Better Place To Live. It's How We're Helping To Invent A Better Now.","$20,397",-5.20%,"-$2,951.00",-692.60%,"$70,904","$41,308"
145,AutoNation,"21,600",9,Automotive,"Autonation Is An American Automotive Retailer, Which Provides New And Pre-owned Vehicles And Associated Services In The United States. ","$20,390",-4.40%,$381.60,-15.20%,"$9,887","$7,683"
146,Southern,"27,700",7,Holding Company,Southern Company Is An American Gas And Electric Utility Holding Company Based In The Southern United States.,"$20,375",-4.90%,"$3,119.00",-34.20%,"$122,935","$65,679"
147,World Fuel Services,"4,300",-56,Energy Company,"World Fuel Services Corporation Is An Energy, Commodities, And Services.","$20,358",-44.70%,$109.60,-38.70%,"$4,500","$2,222"
148,D.R. Horton,"9,716",35,Home Construction,"D.r. Horton, Inc. Is A Home Construction Company. The Company Has Been The Largest Homebuilder By Volume In The United States. D.r. Horton Operates Four Brands: D.r. Horton, Emerald Homes, Express Homes, And Freedom Homes. Express Homes Is Tailored To Entry-level Buyers While The Emerald Homes Brand Is Sold As Luxury Real Estate. Freedom Homes Caters To The Active Adult Community","$20,311",15.50%,"$2,373.70",46.70%,"$18,912","$32,413"
149,Nucor,"26,400",-10,Steel Production Company,"Nucor Corporation Is The Safest, Highest Quality, Lowest Cost, Most Productive And Most Profitable Steel And Steel Products Company In The World.","$20,140",-10.80%,$721.50,-43.20%,"$20,125","$23,976"
150,Cummins,"57,825",-18,Heavy Equipment,"They Designs, Manufactures, And Distributes Engines, Filtration, And Power Generation Products.","$19,811",-16.00%,"$1,789.00",-20.80%,"$22,624","$37,971"
151,NGL Energy Partners,"1,400",-24,Energy Company,"Ngl Energy Partners Is A Vertically Integrated, Full Service Midstream Provider Focused On Four Business Segments:crude Oil Logistics, Water Treatment Services, Ngl Logistics,retail Propane.","$19,771",-17.90%,-$397.00,-210.30%,"$6,499",$264
152,DXC Technology,"138,000",3,Information Technology & Services,Dxc Technology Is An American Multinational Corporation That Provides B2b It Services.,"$19,577",-7.60%,"-$5,369.00",-527.10%,"$26,006","$7,959"
153,Union Pacific,"30,960",-4,Transport Company,Union Pacific Operates North America's Premier Railroad Franchise.,"$19,533",-10.00%,"$5,349.00",-9.60%,"$62,398","$146,948"
154,Whirlpool,"78,000",8,Home Appliance Company,It Is A Multinational Manufacturer And Marketer Of Home Appliances,"$19,456",-4.70%,"$1,081.00",-8.70%,"$20,350","$13,832"
155,Molina Healthcare,"10,500",38,Health Care,Molina Healthcare Is A Managed Care Company  The Company Provides Health Insurance To Individuals Through Government Programs Such As Medicaid And Medicare.,"$19,423",15.40%,$673.00,-8.70%,"$9,532","$13,647"
156,ConocoPhillips,"9,700",-63,Natural Gas Liquids Company,"Conocophillips Company Provides Oil Exploration And Production Services. The Company Offers Processes, Refines, And Markets Crude Oil, Natural Gas, And Petroleum Products. Conocophillips Serves Customers Worldwide.","$19,256",-47.50%,"-$2,701.00",-137.60%,"$62,618","$71,623"
157,McDonald's,"200,000",-1,Fast Food Company,Mcdonald's Corporation Is An American Fast Food Company.,"$19,208",-8.90%,"$4,730.50",-21.50%,"$52,627","$167,113"
158,Kimberly-Clark,"46,000",17,Manufacturing Company,Kimberly-clark Corporation Is An American Multinational Personal Care Corporation That Produces Mostly Paper-based Consumer Products. The Company Manufactures Sanitary Paper Products And Surgical & Medical Instruments.,"$19,140",3.70%,"$2,352.00",9.00%,"$17,523","$47,000"
159,Paccar,"26,000",-41,Manufacturing Company,Largest Manufacturers Of Medium- And Heavy-duty Trucks In The World,"$18,729",-26.80%,"$1,298.40",-45.60%,"$28,260","$32,256"
160,PG&E,"24,000",29,Gas,The Pacific Gas And Electric Company Is An American Investor-owned Utility With Publicly-traded Stock. Pg&e Provides Natural Gas And Electricity.,"$18,469",7.80%,"-$1,318.00",-,"$97,856","$23,241"
161,CDW,"10,000",17,Technology Products,"It Is A Provider Of Technology Products And Services For Business, Government And Education.","$18,468",2.40%,$788.50,7.00%,"$9,345","$23,292"
162,Sherwin-Williams,"61,031",18,Paint And Coating Manufacturing,"Sherwin-williams Company Is An American Company In The Paint And Coating Manufacturing Industry. The Company Engages In The Manufacture, Distribution, And Sale Of Paints, Coatings, Floorcoverings, And Related Products To Professional, Industrial, Commercial, And Retail Customers","$18,362",2.60%,"$2,030.40",31.70%,"$20,402","$65,837"
163,L3Harris Technologies,"48,000",87,Defense & Space,"L3harris Technologies Is An Agile Global Aerospace And Defense Technology Innovator, Delivering End-to-end Solutions That Meet Customers' Mission-critical Needs. The Company Provides Advanced Defense And Commercial Technologies Across Air, Land, Sea, Space And Cyber Domains.","$18,194",41.50%,"$1,119.00",-16.10%,"$36,960","$41,664"
164,Macy's,"75,711",-44,Department Store Company,"Department Store, An Iconic Brand And Retail Industry Leader.","$18,097",-28.60%,"-$3,944.00",-799.30%,"$17,706","$5,028"
165,ManpowerGroup,"25,000",-7,Staffing Firm,"Manpowergroup Is The Third-largest Staffing Firm In The World . The Company Provides Administrative & Support Services, Professional Services, And Business Services Through Its Four Primary Brands: Manpower (contingent Staffing & Permanent Recruitment), Experis (professional Resourcing And Project-based Solutions), Right Management (career Management, Workforce Consulting, And Training & Development), And Manpowergroup Solutions (managed Services And Outsourcing)","$18,001",-13.70%,$23.80,-94.90%,"$9,328","$5,434"
166,NextEra Energy,"14,900",6,Electric Services,"Nextera Energy, Inc. Is An American Energy Company With About 46 Gigawatts Of Generating Capacity. It Is The World's Largest Generator Of Renewable Energy From The Wind And Sun. In Addition To Wind And Solar, Nextera Energy Resources Owns And Operates Generating Plants Powered By Natural Gas, Nuclear Energy, And Oil.","$17,997",-6.30%,"$2,919.00",-22.60%,"$127,684","$148,305"
167,Tenet Healthcare,"97,900",7,Healthcare Company,Tenet Healthcare Corporation Is A Multinational Investor-owned Healthcare Services Company. The Company Operates 65 Hospitals And Approximately 500 Other Healthcare Facilities.,"$17,640",-4.50%,$399.00,-,"$27,106","$5,537"
168,Avnet,"14,600",1,Electronic Components,"Avnet Is A Global Leader Of Electronic Components And Services, Guiding Makers And Manufacturers From Design To Delivery.","$17,634",-9.70%,-$31.10,-117.60%,"$8,105","$4,128"
169,General Mills,"35,000",23,Food,"General Mills, Inc., Is An American Multinational Manufacturer And Marketer Of Branded Consumer Foods Sold Through Retail Stores. ","$17,627",4.50%,"$2,181.20",24.40%,"$30,807","$37,403"
170,WestRock,"49,300",7,Packaging Company,Westrock Is An American Corrugated Packaging Company. It Is The 2nd Largest American Packaging Company.,"$17,579",-3.90%,-$690.90,-180.10%,"$28,780","$13,716"
171,Carrier Global,"56,000",-,Home Appliance Company,"Carrier is a world leader in heating, air-conditioning and refrigeration solutions.","$17,456",-,"$1,982.00",-,"$25,093","$36,701"
172,Lincoln National,"10,966",16,Insurance,"Lincoln National Corporation Is A Fortune 250 American Holding Company, Which Operates Multiple Insurance And Investment Management Businesses Through Subsidiary Companies. Lincoln Financial Group Is The Marketing Name For Lnc And Its Subsidiary Companies","$17,439",1.00%,$499.00,-43.70%,"$365,948","$11,953"
173,Genuine Parts,"50,000",-2,Automotive,"The Organization Is Engaged In The Distribution Of Automotive Replacement Parts, Industrial Replacement Parts, Office Products And Electrical/electronic Materials.","$17,384",-10.40%,-$29.10,-104.70%,"$13,440","$16,692"
174,American Airlines Group,"102,700",-104,Airline,"The Company's Primary Business Activity Is The Operation Of A Network Air Carrier, Providing Scheduled Air Transportation For Passengers And Cargo.","$17,337",-62.10%,"-$8,885.00",-627.00%,"$62,008","$15,329"
175,Marsh & McLennan,"76,000",20,Insurance Company,"Marsh & Mclennan Companies, Inc. Is A Global Professional Services Firm, Headquartered In New York City With Businesses In Insurance Brokerage, Risk Management, Reinsurance Services, Talent Management, Investment Advisory, And Management Consulting","$17,224",3.40%,"$2,016.00",15.70%,"$33,049","$62,055"
176,Applied Materials,"24,000",42,Manufacturing Company,"Applied Materials, Inc. Is An American Corporation That Supplies Equipment, Services And Software For The Manufacture Of Semiconductor Chips For Electronics, Flat Panel Displays For Computers, Smartphones And Televisions, And Solar Products.","$17,202",17.80%,"$3,619.00",33.70%,"$22,353","$122,600"
177,Becton Dickinson,"72,000",10,Medical Device,"It Is An American Multinational Medical Technology Company That Manufactures And Sells Medical Devices, Instrument Systems, And Reagents. Bd Also Provides Consulting And Analytics Services In Certain Geographies.","$17,117",-1.00%,$874.00,-29.10%,"$54,012","$70,650"
178,Delta Air Lines,"74,000",-110,Airline,"Delta, Is One Of The Major Airlines Of The United States And A Legacy Carrier.","$17,095",-63.60%,"-$12,385.00",-359.80%,"$71,996","$30,810"
179,Lear,"174,600",-13,Manufacturing Company,Lear Corporation Is An American Company That Manufactures Automotive Seating And Automotive Electrical Systems.,"$17,046",-14.00%,$158.50,-79.00%,"$13,199","$10,896"
180,Bank of New York Mellon,"48,500",-21,Investment Banking,"Bny Mellon, Is An American Investment Banking Services Holding Company . It Is The World's Largest Custodian Bank And Asset Servicing Company, With $2.0 Trillion In Assets Under Management And $38.6 Trillion In Assets Under Custody As Of The Second Quarter Of 2020.","$16,940",-18.60%,"$3,617.00",-18.60%,"$469,633","$41,471"
181,Emerson Electric,"83,500",-5,Manufacturing Company,"It Manufactures Products And Provides Engineering Services For A Wide Range Of Industrial, Commercial, And Consumer Markets","$16,785",-8.60%,"$1,965.00",-14.80%,"$22,882","$54,135"
182,Western Digital,"63,800",16,Computers,"Western Digital Corporation Is An American Computer Hard Disk Drive Manufacturer And Data Storage Company. It Designs, Manufactures And Sells Data Technology Products, Including Storage Devices, Data Center Systems And Cloud Storage Services. ","$16,736",1.00%,-$250.00,-,"$25,662","$20,432"
183,Occidental Petroleum,"11,800",-35,Petroleum Industry,"Occidental Petroleum Corporation is an American company engaged in hydrocarbon exploration in the United States, and the Middle East as well as petrochemical manufacturing in the United States, Canada, and Chile.","$16,680",-24.10%,"-$14,831.00",-,"$80,064","$24,849"
184,Nvidia,"18,975",108,Computer Game Company,"It Designs Graphics Processing Units For The Gaming And Professional Markets, As Well As System On A Chip Units For The Mobile Computing And Automotive Market.","$16,675",52.70%,"$4,332.00",54.90%,"$28,791","$331,037"
185,Cognizant Technology Solutions,"289,500",9,Digital Products,"Cognizant Is An American Multinational Product Led Digital Corporation That Provides Digital Products, Digital It Services, Including Digital, Technology, Consulting, And Operations Services. It Sells Digital Products On Cloud Based Data Engineering, Model Based Testing Tool, Process Automation Tool Rpa.","$16,652",-0.80%,"$1,392.00",-24.40%,"$16,923","$41,452"
186,Jones Lang LaSalle,"90,800",-7,Real Estate,It Is An American Commercial Real Estate Services Company With Offices In Several Countries.,"$16,590",-7.70%,$402.50,-24.80%,"$14,317","$9,151"
187,Synchrony Financial,"16,500",-17,Financial Services,"Synchrony Financial Is A Consumer Financial Services Company. The Company Offers Consumer Financing Products, Including Credit, Promotional Financing And Loyalty Programs, Installment Lending To Industries, And Fdic-insured Consumer Savings Products.","$16,472",-15.40%,"$1,385.00",-63.00%,"$95,948","$23,741"
188,Colgate-Palmolive,"34,200",15,Consumer Products,"Colgate-palmolive Company Is An American Multinational Consumer Products Company. It Specializes In The Production, Distribution And Provision Of Household, Health Care, Personal Care And Veterinary Products.","$16,471",5.00%,"$2,695.00",13.90%,"$15,920","$66,810"
189,AECOM,"54,000",-26,Multinational Engineering Firm,"Aecom Provides Archaeology, Architecture & Design, Asset Management, Construction, Cost Management, Decommissioning & Closure, Economics, Engineering, Environmental Services, International Development, It & Cyber Security, Operations & Maintenance, Planning & Consulting, Program, Management/construction Management, Risk Management & Resilience And Technical Services","$16,391",-18.80%,-$186.40,-,"$12,999","$9,470"
190,XPO Logistics,"119,750",6,Transportation & Logistics,"Xpo Logistics Is An American Transportation And Contract Logistics Company That Manages Supply Chains For 50,000 Customers Worldwide,","$16,252",-2.40%,$110.00,-73.70%,"$16,169","$12,602"
191,C.H. Robinson Worldwide,"14,888",17,Transport Company,"C.h. Robinson Is An American  Provider Of Multimodal Transportation Services And Third-party Logistics. The Company Offers Freight Transportation, Transportation Management, Brokerage And Warehousing. It Offers Truckload, Less Than Truckload, Air Freight, Intermodal, And Ocean Transportation.","$16,207",5.90%,$506.40,-12.20%,"$5,144","$12,515"
192,BlackRock,"16,500",27,Investment Management Company,"Blackrock, Inc. Is An American Multinational Investment Management Corporation. Founded In 1988, Initially As A Risk Management And Fixed Income Institutional Asset Manager, Blackrock Is The World's Largest Asset Manager, With $7.81 Trillion In Assets Under Management As Of End-q4 2020","$16,205",11.50%,"$4,932.00",10.20%,"$176,982","$115,080"
193,Dominion Energy,"17,300",4,Power And Energy,"Dominion Energy, Inc., Commonly Referred To As Dominion, Is An American Power And Energy Company.","$16,128",-2.70%,-$401.00,-129.50%,"$95,905","$61,224"
194,Rocket Companies,"24,000",-,Financial Services,"Rocket Companies is a Detroit-based company made up of businesses that provide simple, fast and trusteddigital solutions for complex transactions. ","$15,981",204.30%,$198.00,-,"$37,535","$45,821"
195,Kohl's,"73,000",-30,Department Store Company,Kohl's Is The Largest Department Store Chain In The United States,"$15,955",-20.10%,-$163.00,-123.60%,"$15,337","$9,394"
196,Fluor,"43,717",-15,Engineering Company,"Fluor Corporation Is An American Multinational Engineering And Construction Firm. It Is A Holding Company That Provides Services Through Its Subsidiaries In The Following Areas: Oil And Gas, Industrial And Infrastructure, Government And Power","$15,884",-9.60%,-$435.00,-,"$7,310","$3,252"
197,DISH Network,"13,500",54,Satellite Television Company,"Dish Network Corporation Is An American Television Provider Based In Englewood, Colorado. It Is The Owner Of The Direct-broadcast Satellite Provider Dish, Also Still Commonly Known As Dish Network, And The Over-the-top Iptv Service Sling Tv.","$15,493",21.00%,"$1,762.70",25.90%,"$38,240","$19,048"
198,BJ's Wholesale Club,"32,000",45,Retailing,Bj's Wholesale Club Is A Leading Operator Of Membership Warehouse Clubs In The Eastern United States.,"$15,430",17.00%,$421.00,124.90%,"$5,412","$6,157"
199,Tenneco,"73,000",-14,Automotive Components,Tenneco Is An American Automotive Components Original Equipment Manufacturer And An Aftermarket Ride Control And Emissions Products Manufacturer.,"$15,379",-11.90%,"-$1,521.00",-,"$11,852",$876
200,United Airlines Holdings,"74,400",-124,Airline,"United Airlines Holdings, Inc. Operates As A Holding Company. The Company, Through Its Subsidiaries, Provides Air Transportation Services. United Airlines Holdings Owns And Manages Airlines That Transports People And Cargos. United Airlines Holdings Serves Customers Worldwide.","$15,355",-64.50%,"-$7,069.00",-334.90%,"$59,548","$18,325"
201,Mastercard,"21,000",-10,Financial Services Company,Mastercard Incorporated Is An American Multinational Financial Services Corporation.,"$15,301",-9.40%,"$6,411.00",-21.00%,"$33,584","$353,687"
202,Waste Management,"48,250",5,Waste Management,"It Is An American Waste Management, Comprehensive Waste, And Environmental Services Company In North America. ","$15,218",-1.50%,"$1,496.00",-10.40%,"$29,345","$54,452"
203,PBF Energy,"3,729",-78,Petroleum Refining Company,"Pbf Energy Inc. Is A Petroleum Refiner And Supplier Of Unbranded Transportation Fuels, Heating Oils, Lubricants, Petrochemical Feedstocks, And Other Petroleum Products.","$15,116",-38.30%,"-$1,392.40",-535.90%,"$10,500","$1,700"
204,American Electric Power,"16,787",-,Power And Energy,"It Is The Largest Generators Of Electricity, Owning Nearly 38,000 Megawatts Of Generating Capacity In The U.s. ","$14,919",-4.10%,"$2,200.10",14.50%,"$80,757","$42,067"
205,Fiserv,"44,000",106,Financial Company,"Fiserv, Inc. Is A Global Provider Of Financial Services Technology.","$14,852",45.80%,$958.00,7.30%,"$74,619","$79,693"
206,Principal Financial,"17,400",-5,Insurance,The Principal Financial Group Is A Global Financial Investment Management And Insurance Company.,"$14,742",-9.10%,"$1,395.80",0.10%,"$296,628","$16,346"
207,Reinsurance Group of America,"3,600",18,Reinsurance Company,"Reinsurance Group Of America, Incorporated Is A Holding Company For A Global Life And Health Reinsurance Entity.  It Is Among The Leading Global Providers Of Life Reinsurance And Financial Solutions","$14,596",2.10%,$415.00,-52.30%,"$84,656","$8,568"
208,Automatic Data Processing,"58,000",19,Management Services Company,"Automatic Data Processing, Inc. Is An American Provider Of Human Resources Management Software And Services.","$14,590",2.90%,"$2,466.50",7.60%,"$39,166","$80,654"
209,Stanley Black & Decker,"58,350",11,Manufacturing Company,"Stanley Black & Decker, Inc., Formerly Is A Manufacturer Of Industrial Tools And Household Hardware And Provider Of Security Products.","$14,535",0.60%,"$1,233.80",29.10%,"$23,566","$32,152"
210,Texas Instruments,"30,000",12,Technology Company,"Texas Instruments Incorporated is an American technology company headquartered in Dallas, Texas, that designs and manufactures semiconductors and various integrated circuits, which it sells to electronics designers and manufacturers globally. ","$14,461",0.50%,"$5,595.00",11.50%,"$19,351","$174,439"
211,Halliburton,"40,000",-69,Oilfield Services & Equipment,"One Of The World's Largest Oil Field Service Companies, It Has Operations In More Than 70 Countries.","$14,445",-35.50%,"-$2,945.00",-,"$20,680","$19,070"
212,Stryker,"43,000",2,Medical Technology,"Stryker Is One Of The World's Leading Medical Technology Companies And, Together With Our Customers, Is Driven To Make Healthcare Better. We Offer Innovative Products And Services In Orthopaedics, Medical And Surgical, And Neurotechnology And Spine That Help Improve Patient And Hospital Outcomes.","$14,351",-3.60%,"$1,599.00",-23.20%,"$34,330","$91,665"
213,Estée Lauder,"48,000",2,Makeup,"The Estée Lauder Companies Inc. Is An American Multinational Manufacturer And Marketer Of Prestige Skincare, Makeup, Fragrance And Hair Care Products.","$14,294",-3.80%,$684.00,-61.70%,"$17,781","$105,509"
214,Corteva,"21,000",20,Agricultural Chemical Company,"Corteva Agriscience Is A Publicly Traded, Global Pure-play Agriculture Company That Provides Farmers Around The World With The Most Complete Portfolio","$14,217",2.70%,$681.00,-,"$42,649","$34,529"
215,Freeport-McMoRan,"24,500",6,Mining,"Freeport-mcmoran Inc., Often Called Freeport, Is A Mining Company .","$14,198",-1.40%,$599.00,-,"$42,144","$48,028"
216,Qurate Retail,"26,424",23,Media Conglomerate,"Qurate Retail, Inc. Provides E-commerce Services. The Company Engages In The Video And Digital Commerce Via Television Networks And E-commerce Sites, Social Pages, Mobile Application, Print Catalogs, And In-store Destinations","$14,177",5.30%,"$1,204.00",-,"$16,999","$4,881"
217,Wayfair,"16,122",131,Online Store Company,Wayfair Inc. Is An American E-commerce Company That Sells Furniture And Home-goods.,"$14,145",55.00%,$185.00,-,"$4,570","$32,645"
218,Laboratory Corp. of America,"68,780",56,Clinical Laboratory Company,"Labcorp Provides Vital Information To Help Doctors, Hospitals, Pharmaceutical Companies, Researchers, And Patients Make Clear And Confident Decisions.
","$13,979",21.00%,"$1,556.10",88.90%,"$20,072","$24,891"
219,Land O'Lakes,"9,000",13,Food Company,"Land O'lakes, Inc., One Of America's Premier Agribusiness And Food Companies, Is A Member-owned Cooperative With Industry-leading Operations.","$13,949",0.40%,$264.90,28.70%,"$9,186",-
220,PPG Industries,"46,900",-11,Paints,"Ppg Industries, Inc. Is An American Company And Global Supplier Of Paints, Coatings, And Specialty Materials.","$13,834",-8.70%,"$1,059.00",-14.80%,"$19,556","$35,604"
221,Gap,"117,000",-22,Retail Company,It Is An American Worldwide Clothing And Accessories Retailer.,"$13,800",-15.80%,-$665.00,-289.50%,"$13,769","$11,165"
222,Kellogg,"31,000",15,Consumer Goods,The Kellogg Company Is The World’s Leading Producer Of Cereal And A Leader In Snacks Production.,"$13,770",1.40%,"$1,251.00",30.30%,"$17,996","$21,545"
223,Parker-Hannifin,"50,520",1,Motion And Control Technologies,"Parker-hannifin Corporation, Is An American Corporation Specializing In Motion And Control Technologies.","$13,696",-4.40%,"$1,206.30",-20.20%,"$19,738","$40,716"
224,Core-Mark Holding,"7,534",16,Wholesale,"Core-mark Holding Company, Inc. Distributes Consumer Packaged Goods And Store Supplies To The Convenience Retail Industry.","$13,617",2.20%,$63.20,9.50%,"$1,955","$1,747"
225,Jacobs Engineering Group,"53,500",-19,Technical Professional Services,"Jacobs Engineering Group Inc. Is An American International Technical Professional Services Firm. The Company Provides Technical, Professional And Construction Services, As Well As Scientific And Specialty Consulting For A Broad Range Of Clients Globally Including Companies, Organizations, And Government Agencies.","$13,578",-12.20%,$491.80,-42.00%,"$12,354","$16,816"
